,ssc_id,psmsl,name,country,geo:lat,geo:lon,dcterms:modified,ioc,ptwc,gloss,uhslc,sonel_gps,sonel_tg
0,SSC-aarh,76,Aarhus,DK,56.147222,10.223889,2015-10-22T17:02:29+00:00,,,,,,
1,SSC-aasi,1900,Aasiaat,GL,68.716667,-52.883333,2015-10-22T17:02:29+00:00,,,,,,
2,SSC-abas,1104,Abashiri,JP,44.01666,144.28333,2015-10-22T17:02:29+00:00,abas,abas,327,347,797,2107
3,SSC-abbo,"['1652', '1656']",Abbot Point,AU,-19.85,148.116667,2015-10-22T17:02:29+00:00,,,,,,
4,SSC-abed,"['21', '361']",Aberdeen,GB,57.14,-2.08,2015-10-22T17:02:29+00:00,abed,,,,617,"['2185', '2735']"
5,SSC-aber,298,Aberdeen Point,SL,8.5,-13.23333,2015-10-22T17:02:29+00:00,,,,,,
6,SSC-abid,"['1313', '1558']",Abidjan,CI,5.25,-4.0,2015-10-22T17:02:29+00:00,,,257,230,,2882
7,SSC-abua,1510,Abu Ali Pier,SA,27.3,49.65,2015-10-22T17:02:29+00:00,,,,,,
8,SSC-abur,814,Aburatsu,JP,31.58,131.41,2021-12-10T12:53:30+00:00,abur,abur,82,354,806,2209
9,SSC-aburr,130,Aburatsubo,JP,35.160278,139.615278,2015-10-22T17:02:29+00:00,,,,,779,2210
10,SSC-abus,1688,Abu Safah,SA,26.95,50.5,2015-10-22T17:02:29+00:00,,,,,,
11,SSC-acaj,"['1011', '1302']",Acajutla,SV,13.573792,-89.838128,2015-10-22T17:02:29+00:00,acaj,acaj,182,82,,2859
12,SSC-acap,686,Acapulco,MX,16.8333,-99.9166,2015-10-22T17:02:29+00:00,"['acap', 'acap2', 'acya']","['acap', 'acya']",267,316,2279,2280
13,SSC-accr,242,Accra,GH,5.533333,-0.2,2015-10-22T17:02:29+00:00,,,,,,
14,SSC-acnj,180,Atlantic City,US,39.355,-74.4183,2015-10-22T17:02:29+00:00,"['acnj', 'acnj2']",acnj,220,264,2923,2876
15,SSC-adak,487,Adak,US,51.863,-176.632,2015-10-22T17:02:29+00:00,"['adak', 'adak2']",adak,302,40,2667,2666
16,SSC-aden,44,Aden,YE,12.7883,44.9742,2015-10-22T17:02:29+00:00,aden,aden,3,172,,2790
17,SSC-agal,,Agalega,MU,-10.34559167,56.58556167,2015-10-22T17:02:29+00:00,agal,agal,,,,
18,SSC-agua,2121,Aguadilla,US,18.45,-67.16666,2015-10-22T17:02:29+00:00,agua,agua,,263,"['3039', '3040', '3041', '3042']",3038
19,SSC-aigi,,Aigio,GR,38.26,22.08,2022-01-16T13:51:03+00:00,aigi,,,,,
20,SSC-aigu,,l'Aiguillon sur Mer,FR,46.335,-1.316389,2015-10-22T17:02:29+00:00,,,,,3476,3475
21,SSC-aina,342,Ainazi (Hainasch),LV,57.883333,24.333333,2015-10-22T17:02:29+00:00,,,,,,
22,SSC-aion,730,Aion,RU,69.933333,167.983333,2015-10-22T17:02:29+00:00,,,,,,
23,SSC-aira,,Aira,JP,31.8241,130.5996,2015-10-22T17:02:29+00:00,,,,,3351,
24,SSC-ajac,1929,Ajaccio,FR,41.92,8.76,2015-10-22T17:02:29+00:00,"['ajac', 'ajac2']",ajac,,,"['3197', '619']",1719
25,SSC-akko,2218,Akko,IL,32.9193,35.07024,2015-10-22T17:02:29+00:00,,,,,,
26,SSC-aksa,2013,Aksaz,TR,36.837778,28.397778,2015-10-22T17:02:29+00:00,,,,,,
27,SSC-akun,1265,Akune,JP,32.0175,130.190833,2015-10-22T17:02:29+00:00,,,,,794,2119
28,SSC-alak,,Alitak,US,56.8975,-154.2481,2015-10-22T17:02:29+00:00,"['alak', 'alak2']",alak,,,,
29,SSC-alam,437,Alameda,US,37.772,-122.298,2015-10-22T17:02:29+00:00,"['alam', 'alam2']",alam,,,3319,3318
30,SSC-alamn,717,Alamitos Bay Entrance,US,33.75,-118.116667,2015-10-22T17:02:29+00:00,,,,,,
31,SSC-alba,"['957', '965']",Albany,AU,-35.033722,117.892556,2015-10-22T17:02:29+00:00,,,,,3236,3235
32,SSC-albak,1536,Albany,US,42.65,-73.746667,2015-10-22T17:02:29+00:00,,,,,,
33,SSC-albo,,Alboran Island,ES,35.938903,-3.033732,2019-11-29T13:32:45+00:00,albo,,,,4151,4150
34,SSC-albu,,Albufeira,PT,37.08254,-8.260396,2021-08-26T14:18:40+00:00,albu,albu,,,,
35,SSC-alcu,2063,Alcudia,ES,39.867,3.117,2015-10-22T17:02:29+00:00,alcu,,,,,
36,SSC-alda,1415,Aldabra,SC,-9.4,46.216667,2015-10-22T17:02:29+00:00,,,,,,
37,SSC-aler,1110,Alert,CA,82.49,-62.32,2015-10-22T17:02:29+00:00,aler,,333,836,625,2108
38,SSC-alerc,554,Alert Bay,CA,50.583333,-126.95,2015-10-22T17:02:29+00:00,,,,,3200,3199
39,SSC-ales,509,Alesund,NO,62.469414,6.151946,2015-10-22T17:02:29+00:00,,,,,,
40,SSC-alex,"['2088', '503']",Alexandria,EG,31.2109,29.9235,2015-10-22T17:02:29+00:00,"['alex', 'alex1']",alex,349,807,"['2006', '933']","['2206', '3010']"
41,SSC-alexd,349,Alexandrovsk,RU,50.916667,142.2,2015-10-22T17:02:29+00:00,,,,,,
42,SSC-alexf,1238,Alexandroupolis,GR,40.844139,25.878272,2015-10-22T17:02:29+00:00,,,,,,
43,SSC-alge,,Algeciras,ES,36.176944,-5.398333,2015-10-22T17:02:29+00:00,alge,alge,,,3373,3464
44,SSC-algo,,Algo Cacs-acp,CA,45.95880127,-78.0714035,2015-10-22T17:02:29+00:00,,,,,622,
45,SSC-alic,"['208', '960']",Alicante,ES,38.333333,-0.483333,2019-12-05T10:45:37+00:00,"['alac1', 'alac2']",,,,620,"['2212', '2744']"
46,SSC-alicg,,Alice Springs Au012,AU,-23.67009926,133.88499451,2015-10-22T17:02:29+00:00,,,,,623,
47,SSC-alme,"['1455', '2056']",Almeria,ES,36.83,-2.48,2015-10-22T17:02:29+00:00,"['alme', 'alme2']",,,,"['3461', '624']","['2193', '2395']"
48,SSC-almi,858,Almirante Brown,AQ,-64.9,-62.866667,2015-10-22T17:02:29+00:00,,,,,,
49,SSC-alof,,Alofi,NU,-19.0527,-169.9209,2019-05-02T12:36:49+00:00,alofi,alof,,598,,
50,SSC-alot,"['1607', '1616']",Alotau,PG,-10.31666,150.45,2015-10-22T17:02:29+00:00,,,63,69,,2819
51,SSC-alva,768,Alvarado,MX,18.766667,-95.766667,2015-10-22T17:02:29+00:00,"['alva', 'alva2']",,,,,
52,SSC-amal,1393,Charlotte-Amalie,US,18.3333,-64.9167,2015-10-22T17:02:29+00:00,"['amal', 'amal2']",amal,,255,"['1899', '2664']",2663
53,SSC-amas,1919,Amasra,TR,41.744358062744,32.391750335693,2021-12-08T20:29:39+00:00,amas,,,,,
54,SSC-amba,604,Ambarchik,RU,69.616667,162.3,2015-10-22T17:02:29+00:00,,,,,,
55,SSC-ambo,"['1815', '347']",Ambon,ID,-3.683333,128.18333,2015-10-22T17:02:29+00:00,ambon,ambo,68,133,3216,2821
56,SSC-amcl,,Alternate Master Clock (utc Calibrated),US,38.80310059,-104.52500153,2015-10-22T17:20:30+00:00,,,,,626,
57,SSC-amde,599,Amderma,RU,69.75,61.7,2015-10-22T17:02:29+00:00,,,,,,
58,SSC-amer,631,American River,AU,-35.8,137.766667,2015-10-22T17:02:29+00:00,,,,,,
59,SSC-amhe,746,Amherst,MM,16.083333,97.566667,2015-10-22T17:02:29+00:00,,,,,,
60,SSC-amma,1765,Ammassalik,DK,65.614216,-37.625312,2021-12-10T13:03:56+00:00,,,228,297,2207,2483
61,SSC-amru,1036,Amrum (Wittduen),DE,54.616667,8.383333,2015-10-22T17:02:29+00:00,,,,,,
62,SSC-amua,706,Amuay,VE,11.75,-70.216667,2015-10-22T17:02:29+00:00,,,,,,
63,SSC-anab,1780,Anabar,RU,73.216667,113.5,2015-10-22T17:02:29+00:00,,,,,,
64,SSC-anca,"['101', '2098']",Ancona,IT,43.624766666667,13.506516666667,2015-10-22T17:30:53+00:00,AN15,,,,3153,"['3151', '3152']"
65,SSC-anch,1067,Anchorage,US,61.238,-149.888,2015-10-22T17:02:29+00:00,"['anch', 'anch2']",anch,,,1897,2104
66,SSC-ancu,,Ancud,CL,-41.866911,-73.8316805,2015-10-22T17:02:29+00:00,"['ancu', 'ancu2']",ancu,,,,
67,SSC-ande,425,Andenes,NO,69.316667,16.15,2015-10-22T17:02:29+00:00,ande,,322,800,3573,2263
68,SSC-andr,646,Andreia (Andreia Ostrov),RU,76.8,110.75,2015-10-22T17:02:29+00:00,,,,,,
69,SSC-anew,1227,Anewa Bay,PG,-6.18333,155.88333,2015-10-22T17:02:29+00:00,,,,48,,
70,SSC-angl,1376,Angler Bank,SG,1.35,104.033333,2015-10-22T17:02:29+00:00,,,,,,
71,SSC-angr,380,Angra Heroismo,PT,38.65,-27.23333,2015-10-22T17:02:29+00:00,,,,215,2504,2505
72,SSC-anhe,1699,Anheung,KR,36.673611,126.132222,2015-10-22T17:02:29+00:00,,,,,,
73,SSC-anka,"['1009', '1817']",Luka Koper,SI,45.566667,13.75,2015-10-22T17:02:29+00:00,,,,,,
74,SSC-anna,311,Annapolis,US,38.983333,-76.48,2015-10-22T17:02:29+00:00,,anmd,,,"['1874', '1875', '3522', '896']","['2372', '2767']"
75,SSC-ansa,1922,Ansan,KR,37.192222,126.647222,2015-10-22T17:02:29+00:00,,,,,,
76,SSC-anta,"['1681', '400']",Antalya,TR,36.883333,30.7,2015-10-22T17:02:29+00:00,anta,anta,,,2019,2158
77,SSC-antc,,Antuco,CL,-37.33870278,-71.53202778,2015-10-22T17:02:29+00:00,,,,,2406,
78,SSC-antf,,DART4G_Antofagasta,CL,-23.1958,-71.9956,2015-10-22T17:21:25+00:00,dch2,dch2,,,,
79,SSC-anti,1128,Antipaiuta,RU,69.083333,76.85,2015-10-22T17:02:29+00:00,,,,,,
80,SSC-antil,1383,Antifer,FR,49.65,0.15,2015-10-22T17:02:29+00:00,,,,,3548,3547
81,SSC-anto,"['510', '511']",Antofagasta,CL,-23.653133,-70.404441,2015-10-22T17:02:29+00:00,"['anto', 'anto2']",anto,174,80,2608,"['2607', '2753']"
82,SSC-antoe,1986,Antonio Enes,MZ,-16.23333,39.9,2015-10-22T17:02:29+00:00,,,,191,,
83,SSC-antw,293,Antwerpen (Anvers),BE,51.233333,4.416667,2015-10-22T17:02:29+00:00,,,,,,
84,SSC-anzio,2136,Anzio,IT,41.446858333333,12.634797222222,2015-10-22T17:20:38+00:00,AZ42,,,,,
85,SSC-aomo,1092,Aomori,JP,40.835278,140.763889,2015-10-22T17:02:29+00:00,,,,,,
86,SSC-apfl,1193,Apalachicola,US,29.727,-84.982,2015-10-22T17:02:29+00:00,"['apfl', 'apfl2']",apfl,,760,,
87,SSC-apla,,"Amerada Pass, LA",US,29.4496,-91.3381,2015-10-22T17:02:29+00:00,"['apla', 'apla2']",apla,,,,
88,SSC-arab,1649,Arabiyah Island,SA,27.783333,50.183333,2015-10-22T17:02:29+00:00,,,,,,
89,SSC-arac,2213,Arecibo,PR,18.4805,-66.7024,2015-10-22T17:02:29+00:00,"['arac', 'aracS']",arec,,735,,
90,SSC-aracy,191,"Araceli, Dumarin Island",PH,10.583333,119.983333,2015-10-22T17:02:29+00:00,,,,,,
91,SSC-arca,1918,Arcachon Eyrac,FR,44.665,-1.16355,2015-10-22T17:02:29+00:00,"['arca', 'arca2']",,,,3191,1724
92,SSC-ardr,632,Ardrossan,AU,-34.433333,137.916667,2015-10-22T17:02:29+00:00,,,,,,
93,SSC-aren,2125,Arena Cove,US,38.913,-123.705,2015-10-22T17:02:29+00:00,"['aren', 'aren2']",aren,,573,3026,3025
94,SSC-arenu,67,Arendal,NO,58.45,8.783333,2015-10-22T17:02:29+00:00,,,,,,
95,SSC-areq,,Arequipa Laser Station,PE,-16.46549988,-71.49279785,2015-10-22T17:02:29+00:00,,,,,628,
96,SSC-arge,1321,Argentia,CA,47.3,-53.983333,2015-10-22T17:02:29+00:00,,,,,,
97,SSC-aric,"['1554', '618']",Arica,CL,-18.4758,-70.3232305,2015-10-22T17:02:29+00:00,"['aric', 'aric2']",aric,,83,"['2610', '3159']",2609
98,SSC-arin,2049,Arinaga,ES,27.84691,-15.40146,2015-10-22T17:02:29+00:00,,,,,3137,3136
99,SSC-arkn,56,Arkona,DE,54.683333,13.433333,2022-01-16T13:55:14+00:00,,,,,,
100,SSC-arko,,Arko,SE,58.484167,16.960556,2022-01-16T13:57:14+00:00,arko,,,,,
101,SSC-army,1728,"Army Depot, Cooper R.",US,32.91,-79.951667,2015-10-22T17:02:29+00:00,,,,,,
102,SSC-arna,1958,Arnavutkoy,TR,41.066667,29.05,2015-10-22T17:02:29+00:00,,,,,,
103,SSC-aron,,"Arona, Tenerife",ES,28.0469444,-16.7180556,2019-12-07T09:45:28+00:00,tn031,ten2,,,,
104,SSC-aror,906,Arorae,KI,-2.616667,176.833333,2015-10-22T17:02:29+00:00,,,,,,
105,SSC-arrc,,Arraial do Cabo,BR,-22.974321,-42.012388,2017-09-28T10:35:26+00:00,arrc,,,,,
106,SSC-arre,"['1362', '1710', '2066', '593', '943']",Arrecife,ES,28.9716,-13.5303,2015-10-22T17:02:29+00:00,arre,,,205,3133,3132
107,SSC-arri,,Arrifana,PT,37.295569,-8.869385,2022-01-16T19:12:57+00:00,arri,,,,,
108,SSC-arsu,,Arsuz,TR,36.41559,35.88519,2023-02-21T13:27:19+00:00,arsu,,,,,
109,SSC-arti,1729,Artigas,AQ,-62.183333,-58.866667,2015-10-22T17:02:29+00:00,,,,,,
110,SSC-artu,,Arti,RU,56.42979813,58.5605011,2015-10-22T17:02:29+00:00,,,,,629,
111,SSC-asam,721,Asamushi,JP,40.8975,140.859167,2015-10-22T17:02:29+00:00,,,,,774,2305
112,SSC-ascen,1831,Ascension,GB,-7.91666,-14.41666,2015-10-22T17:02:29+00:00,ascen,ascn,263,291,630,1971
113,SSC-ashd,"['2219', '855']",Ashdod Port,IL,31.83051,34.64155,2015-10-22T17:02:29+00:00,"['ashd', 'ashd1']",,,,2021,"['2180', '3502']"
114,SSC-ashk,,Ashkhara,OM,21.85,59.57,2015-10-22T17:02:29+00:00,ashk,ashk,,,,
115,SSC-askl,2220,Ashkelon,IL,31.634928,34.493757,2015-10-22T17:02:29+00:00,askl,,,,,
116,SSC-asro,,Aserradores,NI,12.626,-87.342,2019-09-28T19:39:17+00:00,asro,asro,,,,
117,SSC-asto,265,Astoria,US,46.208,-123.767,2015-10-22T17:02:29+00:00,"['asto', 'asto2']",asto,,572,"['2093', '2690', '2691', '675']",2176
118,SSC-atic,,Atico,PE,-16.2311,-73.6944,2015-10-22T17:02:29+00:00,atic,atic,,,,
119,SSC-atka,,Atka,US,52.2317,-174.173,2015-10-22T17:02:29+00:00,atka,atka,,,,
120,SSC-auct,"['150', '217']",Auckland-Waitemata Hbr.,NZ,-36.8314,174.7865,2021-12-10T13:08:15+00:00,auct,auct,127,70,"['2545', '632', '932']","['2336', '2745']"
121,SSC-audi,,Audierne,FR,48.0216,-4.5372,2018-07-04T07:03:06+00:00,"['audi', 'audi2']",,,,,
122,SSC-avei,1402,Aveiro,PT,40.65,-8.75,2015-10-22T17:02:29+00:00,,,,,,
123,SSC-avon,"['2011', '257']",Avonmouth Portbury,GB,51.5,-2.73,2015-10-22T17:02:29+00:00,avon,,,,,
124,SSC-awas,1093,Awa Sima,JP,38.467778,139.255,2015-10-22T17:02:29+00:00,,,,,,
125,SSC-ayuk,131,Ayukawa,JP,38.296667,141.505278,2015-10-22T17:02:29+00:00,,,,,,
126,SSC-bahi,1357,Bahia Los Angeles,MX,28.96666,-113.55,2015-10-22T17:02:29+00:00,,,,310,3595,3594
127,SSC-baie,1218,Baie Comeau,CA,49.233333,-68.133333,2015-10-22T17:02:29+00:00,,,,,3054,3053
128,SSC-bajo,,Bajor,ID,-0.68333,117.41666,2015-10-22T17:02:29+00:00,,,,414,,
129,SSC-baka,353,Bakar,HR,45.3,14.533333,2015-10-22T17:02:29+00:00,,,,,,
130,SSC-bake,,Baker Lake,CA,64.31781944,-96.00234444,2015-10-22T17:02:29+00:00,,,,,2407,
131,SSC-bala,1976,Balabac,PH,7.983333,117.066667,2015-10-22T17:02:29+00:00,,,,,,
132,SSC-balaq,2157,"Balanacan, Marinduque",PH,13.533333,121.866667,2015-10-22T17:02:29+00:00,,,,,,
133,SSC-balb,163,Balboa,PA,8.965544,-79.57313,2021-12-10T13:36:16+00:00,,,168,302,,2855
134,SSC-bali,,Balikpapan,ID,-1.26666,116.8,2015-10-22T17:02:29+00:00,,,,411,,
135,SSC-baliu,2155,"Balintang, Quezon, Palawan",PH,9.35,118.133333,2015-10-22T17:02:29+00:00,,,,,,
136,SSC-ball,,Ballyglass pier,IE,54.253,-9.89,2015-10-22T17:02:29+00:00,ball,,,,,
137,SSC-balls,319,Ballina,AU,-28.866667,153.583333,2015-10-22T17:02:29+00:00,,,,,,
138,SSC-balt,"['1226', '1645']",Baltra,EC,-0.433,-90.283,2015-10-22T17:02:29+00:00,balt,balt,169,3,,
139,SSC-bama,1189,Bamaga,AU,-10.85,142.366667,2015-10-22T17:02:29+00:00,,,,,,
140,SSC-bamd,148,Baltimore,US,39.267,-76.578,2015-10-22T17:02:29+00:00,"['bamd', 'bamd2']",bamd,,,"['2704', '3059']",2703
141,SSC-bame,525,Bar Harbor,US,44.3916,-68.205,2015-10-22T17:02:29+00:00,"['bame', 'bame2']",bame,,,635,2353
142,SSC-bamf,1242,Bamfield,CA,48.84,-125.14,2015-10-22T17:02:29+00:00,bamf,,,541,3023,3022
143,SSC-bang,1856,Bangor,GB,54.66,-5.67,2015-10-22T17:02:29+00:00,bang,,,,,
144,SSC-bangw,287,Bangkok Bar,TH,13.45,100.6,2015-10-22T17:02:29+00:00,,,,,,
145,SSC-banj,307,Banjarmasin,ID,-3.3,114.6,2015-10-22T17:02:29+00:00,,,,,,
146,SSC-banl,,Bangalore,IN,13.03431944,77.5115833,2021-07-06T02:48:50+00:00,,,,,2409,
147,SSC-bany,1202,Banyuls,FR,42.483333,3.116667,2015-10-22T17:02:29+00:00,,,,,,
148,SSC-bapj,,Battery Point,AU,-42.8923,147.338,2022-01-16T19:15:14+00:00,bapj,,,,,
149,SSC-bara,745,Barahona,DO,18.208137,-71.092154,2015-10-22T17:02:29+00:00,bara,bara,,,3554,3553
150,SSC-barag,592,Baracoa,CU,20.35,-74.5,2015-10-22T17:02:29+00:00,,,,,,
151,SSC-barb,,Barbuda,AG,17.59,-61.82,2015-10-22T17:02:29+00:00,"['barb', 'barb2']",barb,,,,
152,SSC-barc,1811,Barcelona,ES,41.34,2.16,2015-10-22T17:02:29+00:00,barc,,,,3533,3532
153,SSC-bare,"['541', '547']",Barentsburg ,RU,78.06666,14.25,2015-10-22T17:02:29+00:00,,,231,,,2878
154,SSC-barii,2075,Bari,IT,41.140205555556,16.866033333333,2015-10-22T17:30:59+00:00,BA05,,,,,
155,SSC-barm,1771,Barmouth,GB,52.72,-4.05,2015-10-22T17:02:29+00:00,barm,,,,,
156,SSC-barn,"['683', '691']",Burnie,AU,-41.0501,145.915,2015-10-22T17:02:29+00:00,barn,barn,,344,"['2056', '2057']",2178
157,SSC-baro,1075,Bar,ME,42.083333,19.083333,2015-10-22T17:22:53+00:00,,,,,,
158,SSC-barr,"['1904', '1905', '1998']",Barrow,GB,54.083333,-3.2,2015-10-22T17:02:29+00:00,,,,,,
159,SSC-bars,2109,Barseback,SE,55.756389,12.903333,2015-10-22T17:02:29+00:00,bars,,,,2077,2327
160,SSC-basr,220,Basrah,IQ,30.516667,47.85,2015-10-22T17:02:29+00:00,,,,,,
161,SSC-bass,2004,Basseterre (Coast Guard Base),KN,17.2900333,-62.7097333,2015-10-22T17:02:29+00:00,bass,bass,,,,
162,SSC-basst,1967,Bass Harbour,MY,6.3,99.783333,2015-10-22T17:02:29+00:00,,,,,,
163,SSC-bati,144,Batiscan,CA,46.5,-72.25,2015-10-22T17:02:29+00:00,,,,,,
164,SSC-batr,,Batroun,LB,34.25156,35.65641,2022-01-16T19:18:00+00:00,batr,,,,,
165,SSC-batu,51,Batumi,GE,41.633333,41.7,2015-10-22T17:02:29+00:00,,,,,,
166,SSC-batuu,296,"Batuan Bay, Tikao",PH,12.416667,123.783333,2015-10-22T17:02:29+00:00,,,,,,
167,SSC-bayg,1727,Bay Gardene,US,29.598333,-89.618333,2015-10-22T17:02:29+00:00,,,,,,
168,SSC-bbbc,,Bella Bella,CA,52.16,-128.14,2016-03-01T11:51:00+00:00,bbbc,bbbc,,,,
169,SSC-bdto,,Bocas Del Toro,PA,9.350921,-82.257703,2015-10-22T17:02:29+00:00,bdto,bdto,,,,
170,SSC-beac,304,Beachport,AU,-37.5,140.0,2015-10-22T17:02:29+00:00,,,,,,
171,SSC-beau,1537,Beaufort,US,32.433333,-80.666667,2015-10-22T17:02:29+00:00,,,,,,
172,SSC-beca,1798,Becancour,CA,46.4,-72.383333,2015-10-22T17:02:29+00:00,,,,,,
173,SSC-beih,1408,Beihai,CN,21.48333,109.08333,2015-10-22T17:02:29+00:00,,,,636,,
174,SSC-beir,1888,Beira,MZ,-19.816667,34.833333,2015-10-22T17:02:29+00:00,,,,,,
175,SSC-bela,276,Belawan,ID,3.916667,98.716667,2015-10-22T17:02:29+00:00,,,,,,
176,SSC-bele,580,Belem,BR,-1.45,-48.5,2015-10-22T17:02:29+00:00,bele,,,229,2999,2998
177,SSC-belf,"['219', '861']",Belfast,GB,54.6,-5.916667,2015-10-22T17:02:29+00:00,,,,,,
178,SSC-belg,198,"Belgrano, Bahia Blanca",AR,-38.883333,-62.1,2015-10-22T17:02:29+00:00,,,,,926,2340
179,SSC-beli,1085,Belize,BZ,17.5,-88.18333,2016-04-14T13:56:51+00:00,pobe,,,781,,
180,SSC-bell,984,Bella Bella,CA,52.166667,-128.133333,2015-10-22T17:02:29+00:00,,,,,3209,3208
181,SSC-belle,2069,Belledune,CA,47.9,-65.85,2015-10-22T17:02:29+00:00,,,,,,
182,SSC-bellm,1084,Bella Coola,CA,52.366667,-126.783333,2015-10-22T17:02:29+00:00,,,,,,
183,SSC-bely,859,Belyi Nos,RU,69.6,60.216667,2015-10-22T17:02:29+00:00,,,,,,
184,SSC-benc,719,Beaufort,US,34.72,-76.67,2015-10-22T17:02:29+00:00,"['benc', 'benc2']",benc,,,,
185,SSC-beng,273,Bengkulu,ID,-3.783333,102.25,2015-10-22T17:02:29+00:00,,,,,,
186,SSC-bengh,346,Bengkalis,ID,1.466667,102.133333,2015-10-22T17:02:29+00:00,,,,,,
187,SSC-beno,"['1738', '2200']",Benoa,ID,-8.7666,115.2166,2015-10-22T17:02:29+00:00,beno,beno,49,163,"['2945', '3404']","['2812', '3585']"
188,SSC-berg,58,Bergen,NO,60.398046,5.320487,2015-10-22T17:02:29+00:00,,,,,,
189,SSC-berl,442,Berlevag,NO,70.85,29.1,2015-10-22T17:02:29+00:00,,,,,,
190,SSC-berm,1977,Bermagui,AU,-36.416667,150.066667,2015-10-22T17:02:29+00:00,,,,,,
191,SSC-bgct,1068,Bridgeport,US,41.1733,-73.1816,2015-10-22T17:02:29+00:00,"['bgct', 'bgct2']",bgct,,,,
192,SSC-bhau,"['420', '804']",Bhaunagari,IN,21.8,72.3,2015-10-22T17:02:29+00:00,,,,,,
193,SSC-bhmd,,Bishops Head,US,38.22,-76.0383,2015-10-22T17:02:29+00:00,,bhmd,,,,
194,SSC-bilb,1806,Bilbao,ES,43.36,-3.05,2015-10-22T17:28:18+00:00,bil3,,,,3467,3466
195,SSC-bili,,Bilibino,RU,68.07610321,166.43800354,2015-10-22T17:02:29+00:00,,,,,636,
196,SSC-bill,708,Billinga,RU,69.883333,175.766667,2015-10-22T17:02:29+00:00,,,,,,
197,SSC-bint,1833,Bintulu,MY,3.21666,113.06666,2015-10-22T17:02:29+00:00,,,,387,"['3374', '919']",2325
198,SSC-biri,297,"Biri Island, Samar",PH,12.65,124.366667,2015-10-22T17:02:29+00:00,,,,,,
199,SSC-bitu,"['1709', '308']",Bitung,ID,1.438944,125.190431,2015-10-22T17:02:29+00:00,bitu,bitg,69,33,"['3215', '3405']",2822
200,SSC-bjfs,,Beijing Fangshan,CN,39.60860062,115.89199829,2015-10-22T17:02:29+00:00,,,,,637,
201,SSC-bjor,,Bjornoya ,NO,74.43333,19.16666,2015-10-22T17:02:29+00:00,,,232,,,
202,SSC-bjorl,90,Bjorn,SE,60.633333,17.966667,2015-10-22T17:02:29+00:00,,,,,,
203,SSC-blac,1436,Blacktoft,GB,53.683333,-0.7,2015-10-22T17:02:29+00:00,,,,,,
204,SSC-blnj,,Burlington,US,40.0812,-74.8683,2015-10-22T17:02:29+00:00,,blnj,,,,
205,SSC-blow,,Blowing point,AI,18.1683167,-63.0925972,2017-04-21T07:32:01+00:00,blow,blow,,,,
206,SSC-blri,,Prudence Island,US,41.6,-71.3,2015-10-22T17:02:29+00:00,blri,blri,,,,
207,SSC-blueb,930,Blue Bay,MU,-20.44413333,57.71095,2015-10-22T17:02:29+00:00,blueb,blue,,,,
208,SSC-bluf,213,Bluff,NZ,-46.6,168.35,2015-10-22T17:02:29+00:00,,,129,72,2907,2844
209,SSC-blyt,769,Blyth,GB,55.116667,-1.483333,2015-10-22T17:02:29+00:00,,,,,,
210,SSC-bmda,"['368', '4', '886']",Bermuda,GB,32.36667,-64.7,2020-07-02T19:34:20+00:00,"['bbst', 'bbst2', 'bmda', 'bmda2', 'bmsg']","['bmda', 'bmsg']",221,259,641,2215
211,SSC-bmsa,,Bahia Mansa,CL,-40.5808,-73.7372,2015-10-22T17:02:29+00:00,"['bmsa', 'bmsa2']",bmsa,,,,
212,SSC-bmso,,Bermuda Somerset (UKHO),BM,32.278308,-64.875617,2022-01-16T19:20:03+00:00,bmso,bmso,,,,
213,SSC-bnjl,,Banjul,GM,13.4430556,-16.5733333,2015-10-22T17:02:29+00:00,bnjl,,,,,
214,SSC-boav,,Boa Vista,BR,2.84518296,-60.70111501,2015-10-22T17:02:29+00:00,,,,,3073,
215,SSC-bodo,562,Bodo,NO,67.28829,14.390813,2015-10-22T17:02:29+00:00,,,,,,
216,SSC-bodr,"['1204', '1680']",Bodrum,TR,37.033333,27.416667,2015-10-22T17:02:29+00:00,"['bodr', 'bodri']",bodr,,,,
217,SSC-bogt,,Bogota,CO,4.64007222,-74.08091667,2015-10-22T17:02:29+00:00,,,,,2410,
218,SSC-bolv,651,Bolvanskii Nos (Fedorova),RU,70.45,59.083333,2015-10-22T17:02:29+00:00,,,,,,
219,SSC-boma,235,Boston,US,42.355,-71.0516,2015-10-22T17:02:29+00:00,"['boma', 'boma2']",boma,,741,,
220,SSC-bomj,,Bom Jesus Da Lapa,BR,-13.25555776,-68.00506867,2015-10-22T17:02:29+00:00,,,,,3074,
221,SSC-bona,,Bonan,SE,60.738611,17.318611,2022-01-16T19:22:50+00:00,bona,,,,,
222,SSC-bonn,1039,Bonny,NG,4.45,7.183333,2015-10-22T17:02:29+00:00,,,,,,
223,SSC-bonv,2135,Bonavista,CA,49.083333,-53.2,2022-01-16T19:21:44+00:00,,,,,,
224,SSC-bonz,1809,Bonanza,ES,36.80221,-6.33813,2015-10-22T17:15:15+00:00,bon2,,,,,
